,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
556,Honda Cars,4.3,1.8k,Automobile | Bhiwadi +114 other locations,"Work Life Balance, Company Culture, Job Security",None,6.3k,115,--,184,2
557,Digit Insurance,3.6,1.8k,Insurance | Bengaluru +90 other locations,None,"Promotions, Salary",6.1k,234,53,107,28
558,Orchids International School,3.9,1.8k,Education & Training | Bengaluru +35 other locations,"Skill Development, Work Satisfaction",None,3.9k,395,20,80,--
559,Haldiram Foods International Limited,3.8,1.8k,FMCG | Nagpur +170 other locations,None,"Promotions, Company Culture",6.1k,164,--,104,1
560,DIVI'S Laboratories,3.6,1.8k,Pharma | Visakhapatnam +38 other locations,Salary,"Promotions, Company Culture, Work Satisfaction",6.9k,104,--,177,--
561,Sterling & Wilson,4.1,1.8k,Engineering & Construction | Mumbai +132 other locations,"Work Life Balance, Job Security, Company Culture",None,6.7k,83,22,201,6
562,Hindustan Petroleum,4.2,1.8k,Oil & Gas | Mumbai +259 other locations,"Company Culture, Work Life Balance, Job Security",None,6.1k,119,--,138,6
563,Innovsource Services,3.9,1.8k,Recruitment | Mumbai +253 other locations,Work Life Balance,Promotions,4.7k,79,--,126,5
564,MetLife,4.0,1.8k,Insurance | Noida +44 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,9.5k,102,93,237,--
565,Cafe Coffee Day,3.7,1.8k,Hospitality | Bengaluru +104 other locations,None,"Promotions, Salary, Company Culture",3.8k,86,8,182,9
566,Adani Green Energy,3.9,1.8k,Power | Ahmedabad +116 other locations,"Salary, Skill Development",Promotions,6.1k,165,1,87,28
567,Isgec Heavy Engineering,3.8,1.8k,Engineering & Construction | Noida +94 other locations,Job Security,"Promotions, Company Culture, Work Satisfaction",7k,147,54,137,223
568,Rungta Mines,4.0,1.8k,Metals & Mining | Chaibasa +58 other locations,"Salary, Work Life Balance, Job Security",None,5.8k,194,--,63,9
569,SS&C TECHNOLOGIES,3.2,1.8k,IT Services & Consulting | Mumbai +30 other locations,None,"Promotions, Salary, Company Culture",13.5k,200,166,198,12
570,Stellar Migration,1.3,1.8k,Other | Dubai +7 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction",2,2,--,8,1
571,Air India,3.4,1.8k,Aviation | New Delhi +67 other locations,None,"Promotions, Company Culture, Work Satisfaction",8.1k,225,34,165,--
572,Reckitt Benckiser,3.9,1.8k,FMCG | Gurugram +137 other locations,"Work Life Balance, Salary",Promotions,6.4k,107,77,175,3
573,LivSpace,3.3,1.8k,Architecture & Interior Design | Bengaluru +53 other locations,None,"Promotions, Work Satisfaction, Job Security",8.3k,170,117,95,3
574,USHA International,4.0,1.8k,Consumer Electronics & Appliances | Gurugram +149 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,4.9k,115,17,165,13
575,USV,4.0,1.8k,Pharma | Mumbai +107 other locations,"Company Culture, Work Life Balance, Job Security",None,5.8k,88,88,173,--
576,Tata Communications Transformation Services,3.8,1.8k,Telecom | Pune +95 other locations,Work Life Balance,"Promotions, Salary",8.4k,101,--,171,1
577,XBP Global,3.2,1.8k,Internet | Chennai +23 other locations,None,"Promotions, Skill Development, Salary",7.7k,104,59,79,--
578,Pine Labs,3.2,1.8k,FinTech | Noida +122 other locations,None,"Promotions, Job Security, Company Culture",7.7k,140,4,119,2
579,Kalyan Jewellers,4.4,1.8k,Jewellery | Thrissur +159 other locations,"Salary, Job Security, Company Culture",None,1.6k,81,20,59,3
580,Annapurna Finance,3.8,1.8k,NBFC | Bhubaneswar +405 other locations,Salary,Promotions,3.7k,85,3,132,9
581,HDFC Securities,3.4,1.8k,Financial Services | Mumbai +185 other locations,None,"Promotions, Work Satisfaction, Company Culture",6k,128,61,142,5
582,BT Business,3.9,1.7k,Telecom | Gurugram +13 other locations,"Work Life Balance, Company Culture, Job Security","Promotions, Salary",9.3k,90,5,264,--
583,Security and Intelligence Services (India),4.0,1.7k,Law Enforcement & Security | New Delhi +194 other locations,"Work Life Balance, Job Security, Company Culture",None,4.5k,84,26,135,8
584,Granules India Limited,3.8,1.7k,Pharma | Hyderabad +23 other locations,None,"Promotions, Work Satisfaction, Skill Development",6.5k,86,14,169,1
585,Vedantu,3.2,1.7k,EdTech | Bengaluru +73 other locations,None,"Job Security, Promotions, Work Satisfaction",8k,201,20,160,7
586,BVG India,4.2,1.7k,Facility Management Services | Pune +139 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None,4.1k,174,120,104,8
587,Bata,3.5,1.7k,Fashion & Textile | Gurugram +150 other locations,None,"Promotions, Company Culture, Work Life Balance",4.2k,88,6,123,16
588,Future Retail,4.4,1.7k,Retail | Mumbai +197 other locations,"Company Culture, Skill Development, Work Life Balance",None,3.7k,60,--,249,--
589,Orange Business,4.1,1.7k,IT Services & Consulting | Gurugram +52 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,9.1k,120,4,242,1
590,Dhani Loans and Services,3.9,1.7k,NBFC | Gurugram +185 other locations,Work Life Balance,"Job Security, Promotions",4.1k,70,19,41,1
591,Hitachi Astemo,4.1,1.7k,Auto Components | Neemrana +53 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,6.6k,140,--,119,4
